video_id,title,publishedAt,views,likes,comments,like_ratio,publish_hour,publish_day
vtgDGrUiUKk,Pandas Full Course (2025) | Python Pandas Tutorial For Beginners | Python Pandas Course |Intellipaat,2025-05-30 14:30:11+00:00,69080,1597,105,0.02311812391430226,14,Friday
wfcWRAxRVBA,Classes and Objects with Python - Part 1 (Python Tutorial #9),2018-03-28 06:38:13+00:00,1637262,31533,1348,0.0192595931500273,6,Wednesday
U2ZN104hIcc,Python Tutorial: pip - An in-depth look at the package management system,2015-04-16 15:33:57+00:00,273434,4194,174,0.015338253472501591,15,Thursday
tJxcKyFMTGo,Python Tutorial: OS Module - Use Underlying Operating System Functionality,2016-04-06 16:30:01+00:00,994650,19067,646,0.01916955713064897,16,Wednesday
TqPzwenhMj0,#4 Python Tutorial for Beginners | Variables in Python,2018-07-03 03:48:22+00:00,3544808,62457,3294,0.01761928995872273,3,Tuesday
N5vscPTWKOk,Python Tutorial: virtualenv and why you should use virtual environments,2015-04-14 05:37:52+00:00,849921,13042,563,0.015344955589990128,5,Tuesday
-ARI4Cz-awo,"Python Tutorial: Logging Basics - Logging to Files, Setting Levels, and Formatting",2017-03-15 16:00:00+00:00,553023,13621,314,0.0246300786766554,16,Wednesday
2uvysYbKdjM,Complete Python Pandas Data Science Tutorial! (2025 Updated Edition),2024-06-29 14:10:02+00:00,495735,13504,343,0.027240360273129798,14,Saturday
Uh2ebFW8OYM,Python Tutorial: File Objects - Reading and Writing to Files,2016-04-29 16:00:03+00:00,1971542,29255,961,0.014838638994249172,16,Friday
nWTzTY4wehU,Python Tutorial for Beginners - Coding for AI and Machine Learning!,2025-06-27 11:00:05+00:00,1201,22,3,0.018318068276436304,11,Friday
gZwPdqC2Os0,#48 Python Tutorial for Beginners | Object Oriented Programming | Introduction,2018-08-14 15:43:52+00:00,500063,9581,248,0.019159585892177585,15,Tuesday
GmdGv5ndX54,Python For Beginners in Telugu [PART 1] || Code with Swaroop || Zero to Hero || Introduction,2024-01-01 14:57:42+00:00,1121847,45936,2962,0.04094676011969547,14,Monday
jTYiNjvnHZY,Python Tutorial: Iterators and Iterables - What Are They and How Do They Work?,2018-10-24 15:45:00+00:00,402583,11853,320,0.029442375857897628,15,Wednesday
EFmxPMdBqmU,Animation vs. Coding,2025-03-01 13:00:06+00:00,13740888,635660,24007,0.046260474577771105,13,Saturday
IimBRwHhW54,Python desde cero en una hora para principiantes!,2023-06-16 18:00:13+00:00,579009,20699,526,0.035749012536938116,18,Friday
nWTzTY4wehU,Python Tutorial for Beginners - Coding for AI and Machine Learning!,2025-06-27 11:00:05+00:00,1201,22,3,0.018318068276436304,11,Friday
Kh5jZMM8h7Y,Python CLASSES in 50 Seconds! 🔥👨‍💻 #shorts,2022-01-22 05:00:17+00:00,1073670,36696,380,0.034178099416021686,5,Saturday
2socU7yFLl0,Python Django Setup is easy | Python Tutorial,2025-08-28 15:45:00+00:00,418,5,0,0.011961722488038277,15,Thursday
EFmxPMdBqmU,Animation vs. Coding,2025-03-01 13:00:06+00:00,13740888,635660,24007,0.046260474577771105,13,Saturday
jTYiNjvnHZY,Python Tutorial: Iterators and Iterables - What Are They and How Do They Work?,2018-10-24 15:45:00+00:00,402583,11853,320,0.029442375857897628,15,Wednesday
dJI5NY8aZxs,Python Animation Tutorial #python #shorts #coding #cool,2025-03-13 10:16:22+00:00,38,2,0,0.05263157894736842,10,Thursday
kdLM6AOd2vc,OpenCV Python Tutorial For Beginners 1 - Introduction to OpenCV,2019-02-04 22:13:57+00:00,637507,5629,82,0.00882970696792349,22,Monday
IimBRwHhW54,Python desde cero en una hora para principiantes!,2023-06-16 18:00:13+00:00,579009,20699,526,0.035749012536938116,18,Friday
3J1xBL7zJXg,Python do ZERO ao JÚNIOR - Os vendedores de curso CHORAM | Rápido & Sem enrolação,2023-08-15 15:00:07+00:00,804164,53663,1845,0.06673141299535916,15,Tuesday
HGOBQPFzWKo,Intermediate Python Programming Course,2020-08-27 17:23:03+00:00,4168540,88659,1958,0.02126859763850173,17,Thursday
oUJolR5bX6g,APPRENDRE PYTHON [TUTO PROGRAMMATION COMPLET DÉBUTANT],2020-10-17 07:17:34+00:00,3632010,106648,3805,0.029363355277105513,7,Saturday
RcZsTI5h0kg,HashMaps in Python Tutorial - Data Structures for Coding Interviews,2022-09-05 17:00:12+00:00,226175,6965,170,0.03079473858737703,17,Monday
EgpLj86ZHFQ,Please Learn How To Write Tests in Python… • Pytest Tutorial,2025-02-25 15:54:38+00:00,98029,2269,59,0.023146211835273236,15,Tuesday
