video_id,title,publishedAt,views,likes,comments,like_ratio,publish_hour,publish_day
Ix5cKThAa3E,Python Coding Basics: Get Started with VSCode,2025-01-30 14:41:56+00:00,249108,4751,53,0.019072049071085635,14,Thursday
mErBlm0yzZA,Do THIS Instead of Watching Endless Tutorials - How I'd Learn Python FAST (2025),2025-07-12 05:30:24+00:00,35041,1582,48,0.04514711338146742,5,Saturday
-cXWzWdtErI,Python turtle code | Beautiful design using python pydroid 3 app | python tutorial,2022-02-13 07:19:38+00:00,335047,14939,270,0.04458777425256755,7,Sunday
fHk-U1cyYmM,Print the given pattern in python? ( python for beginners ),2022-12-04 13:50:13+00:00,229793,3871,20,0.016845595818845656,13,Sunday
E1kDTUf6bsA,Password generator in Python!,2023-04-15 11:30:06+00:00,712135,48327,243,0.06786213288210803,11,Saturday
5B41CPvYMjY,The Ultimate Python Roadmap: From Beginner to Expert in 2025!,2023-08-11 18:10:35+00:00,773313,15537,69,0.020091476543133247,18,Friday
eaMDDseIL7E,How to create graphics using Python turtle 🐍🐢 #coding,2022-08-24 16:52:44+00:00,1823418,0,495,0.0,16,Wednesday
VNOz6vEHjEY,How to learn python in mobile #viral #python #tutorial #code,2023-08-16 06:49:30+00:00,329054,6671,48,0.020273268217374657,6,Wednesday
-qiMuTAnnlU,How to Learn Python Fast in 2024? | Learn Python With ChatGPT | Intellipaat #Shorts #Python #ChatGPT,2024-10-31 12:11:45+00:00,304870,17176,25,0.056338767343457864,12,Thursday
6i3EGqOBRiU,Introduction to Python Course | Python for beginners,2022-08-25 14:53:33+00:00,1564885,18403,575,0.01175996958242938,14,Thursday
ZDa-Z5JzLYM,Python OOP Tutorial 1: Classes and Instances,2016-06-20 17:00:03+00:00,4788509,122137,3869,0.02550626927922658,17,Monday
vCcPAX4jVN8,Python code | Beautiful design usind python | Pydroid 3 App,2022-02-01 15:40:32+00:00,451573,7267,81,0.016092636185068638,15,Tuesday
jl38lYNBKpY,Can A.I. CODE an ENTIRE game on PYTHON? Watch ChatGPT Try...,2023-05-13 09:54:33+00:00,302635,5060,77,0.016719810993440942,9,Saturday
RGMeRW3tB0w,Coding a game in Python #Shorts #Python,2022-05-26 16:16:58+00:00,1291065,26852,762,0.020798333159058605,16,Thursday
sDNMYB3ZBtk,3 SIMPLE Python Project Ideas,2023-06-27 16:14:59+00:00,626401,33408,80,0.05333324819085538,16,Tuesday
6i3e-j3wSf0,Python Tutorial for Beginners with VS Code 🐍,2023-02-14 14:00:03+00:00,547316,11010,335,0.02011634960425056,14,Tuesday
mErBlm0yzZA,Do THIS Instead of Watching Endless Tutorials - How I'd Learn Python FAST (2025),2025-07-12 05:30:24+00:00,35041,1582,48,0.04514711338146742,5,Saturday
AaWaE2CEUF0,Python WEB SCRAPING in 30 Seconds! 🔥👨‍💻 #shorts,2022-01-17 19:14:05+00:00,512230,13223,140,0.025814575483669444,19,Monday
utf7Wpf2OAs,python code in hindi for beginners🐍 python code with harry.,2025-03-02 14:46:27+00:00,24053,542,15,0.022533571695838358,14,Sunday
O4ZzNewqGYQ,Day 1 of 15 Days Python Tutorial 🚀 | How to Install Python & VS Code #pythontutorial #learnpython,2025-06-15 12:30:20+00:00,9637,310,17,0.032167687039535126,12,Sunday
aJGIV564pFE,Create a Jupyter Notebook in VS Code!,2021-08-04 01:10:34+00:00,308473,4094,49,0.013271826059330962,1,Wednesday
Z8nKqEERsn8,Master Python easily😳Evlo easy Python programming language🔥,2024-07-04 13:36:32+00:00,179690,16312,71,0.09077856308086148,13,Thursday
mXYHbssCa7c,how to run python code on MacBook / python tutorial/ #python #macbook #youtubeshorts #shorts,2022-09-29 08:41:55+00:00,40990,369,3,0.009002195657477433,8,Thursday
VchuKL44s6E,Python As Fast as Possible - Learn Python in ~75 Minutes,2020-10-04 15:00:06+00:00,2077950,59526,1455,0.028646502562621814,15,Sunday
ya28SEoYUdc,Pygame - Create My First game using Pygame python || Pygame python tutorial #python #pygame,2024-07-26 15:14:29+00:00,247566,3993,140,0.016129032258064516,15,Friday
BVyxC68kHdc,How to write a for loop in python #shorts #programming  #pythontutorial,2022-10-15 23:38:57+00:00,360188,4627,147,0.0128460692749342,23,Saturday
duajrwUUPXs,what is Python? most asked python Interview questions 1 #python #interview,2023-06-18 11:31:31+00:00,575587,21355,25,0.03710125489283114,11,Sunday
l5MlhRSpfSI,I learned python so I can do this...,2023-02-16 04:00:52+00:00,1813243,20049,223,0.011056984640227483,4,Thursday
UtVxd6sdxrI,How to Run Python Programs ( .py Files ) on Windows 11 Computer #learnpython #pythonlearning,2023-06-22 13:14:17+00:00,309929,3161,34,0.010199110118769138,13,Thursday
clGty9OfWKU,Building a Simple Keylogger in Python! 🖥️💡 #pythontutorial #coding,2024-07-26 01:52:34+00:00,26004,587,21,0.022573450238424858,1,Friday
4nPcTfGYQms,Pygame - Create game in python || Pygame python tutorial #python #pygame,2023-04-03 09:20:30+00:00,1895811,57925,419,0.030554206089109092,9,Monday
JeznW_7DlB0,Python Object Oriented Programming (OOP) - For Beginners,2020-03-29 17:02:09+00:00,3772403,102454,2767,0.027158816277052054,17,Sunday
DKmYn0mbn_4,Variables in Python 🐍 programming language in Tamil #python #pythonprogramming #pythontutorial,2023-06-20 04:20:33+00:00,114435,2447,12,0.021383318040809195,4,Tuesday
nLRL_NcnK-4,Harvard CS50’s Introduction to Programming with Python – Full University Course,2023-05-01 13:55:40+00:00,7112452,195625,3771,0.027504579292767107,13,Monday
Y7uQ3dS2uss,What is Python?,2022-09-10 09:51:37+00:00,685649,22579,48,0.03293084362407004,9,Saturday
dglcDIUTSsY,Build a Simple API from Scratch 💻 FastAPI Tutorial for Beginner,2025-09-07 15:45:07+00:00,36635,2058,147,0.056175788180701514,15,Sunday
XKYMGepj7Y8,Python full course | javascript full course | code with harry | #coding #shorts #shortsvideo,2025-01-12 01:21:02+00:00,1046425,27667,193,0.026439544162266765,1,Sunday
XKHEtdqhLK8,Python Full Course for free 🐍,2021-02-15 15:00:12+00:00,21244320,983687,27697,0.046303529602265456,15,Monday
St9pE2bv0zQ,A funny visualization of C++ vs Python | Funny Shorts | Meme,2022-12-13 11:30:08+00:00,1754015,24106,1301,0.013743326026288258,11,Tuesday
J8CwlpEwHoA,How to confuse a Python Developer?,2022-05-11 17:00:09+00:00,3568900,85586,1232,0.023981058589481352,17,Wednesday
ugBTczoyFRo,How I make my animations using python~matplotlib #satisfying #mathematics #python #programming,2024-04-16 20:34:47+00:00,110100,4712,61,0.04279745685740236,20,Tuesday
4aHxtKWBpBw,Tutorial: How to test your Python code,2024-11-16 15:02:18+00:00,26431,1798,29,0.06802618137792743,15,Saturday
YYXdXT2l-Gg,Python Tutorial for Beginners 1: Install and Setup for Mac and Windows,2017-05-17 15:30:00+00:00,3852363,45648,1356,0.011849350645305233,15,Wednesday
MZ6FiuW8DN0,Day 3 of 15 Days Python Tutorial 🚀 |User Inputs #pythontutorial #learnpython,2025-06-17 12:30:23+00:00,3620,136,1,0.03756906077348066,12,Tuesday
PNSIWjWAA7o,All Python Syntax in 25 Minutes – Tutorial,2023-08-13 12:00:19+00:00,127757,4464,102,0.034941333938649156,12,Sunday
ufRLns-QQh0,Struggling with Python programming? Learn it in a  Simplest way #shorts #pythonprogramming,2023-06-27 11:54:10+00:00,7428328,417107,1303,0.05615085925123393,11,Tuesday
wUSDVGivd-8,Python for Data Analytics - Full Course for Beginners,2024-06-07 12:01:05+00:00,905599,25865,802,0.028561206450095463,12,Friday
DZjrmtFUsrE,5 Easiest Coding Language to learn (my opinion),2022-11-03 15:05:20+00:00,3009420,293315,1602,0.0974656246054057,15,Thursday
_6N18g3ewnw,Aprende PYTHON en 10 minutos 🟢,2022-11-11 11:00:32+00:00,558732,22538,516,0.04033776479600238,11,Friday
8KCuHHeC_M0,Learn Python in 1 hour! 🐍,2024-08-18 14:00:05+00:00,356066,11034,483,0.030988636938095747,14,Sunday
KZpYtNtGxSU,Python if __name__ == '__main__': Visually Explained,2025-02-21 14:00:25+00:00,338015,17567,595,0.051971066372794104,14,Friday
Ej_02ICOIgs,Object Oriented Programming with Python - Full Course for Beginners,2021-10-13 13:53:03+00:00,2235212,48252,1293,0.021587214098707414,13,Wednesday
HakXpkXcjdI,Learn Python in 2 Hours | Amit Thinks | Python Tutorial for Beginners,2022-11-24 04:45:00+00:00,71379,1241,37,0.01738606592975525,4,Thursday
WGJJIrtnfpk,Python Full Course - 12 Hours | Python For Beginners - Full Course | Python Tutorial | Edureka,2019-12-01 08:51:45+00:00,6830031,127586,1262,0.018680149475163436,8,Sunday
PtBHnMMRI0E,Python en 8 Minutos,2025-03-13 17:00:33+00:00,144794,7197,319,0.049705098277552935,17,Thursday
gTqV-h_v8Pw,PYTHON 2026 | Tutorial for Beginners | One SHOT Basic to Advanced | HINDI BY VIKAS SINGH ,2025-09-17 20:33:27+00:00,7230,545,101,0.07538035961272475,20,Wednesday
th4OBktqK1I,Learn Python With This ONE Project!,2022-09-24 13:00:27+00:00,2194977,76763,1123,0.03497212043679729,13,Saturday
6OF7tK_NuEo,Python Full Course for Absolute Beginners | Python Tutorial | Python Training 2025 | Simplilearn,2025-09-11 18:22:48+00:00,2969,83,0,0.02795554058605591,18,Thursday
QUT1VHiLmmI,Python NumPy Tutorial for Beginners,2019-08-07 13:00:04+00:00,1971968,46472,691,0.02356630533558354,13,Wednesday
rmmYbjrW0c4,"""Master Python: Your Ultimate Beginner's Guide! #pythonlanguage #pythonsoftware #pythontutorial",2025-02-02 08:33:03+00:00,43,1,1,0.023255813953488372,8,Sunday
feiUbnXgceg,belajar python menyenangkan,2023-05-25 03:03:48+00:00,139598,2311,66,0.01655467843378845,3,Thursday
rmmYbjrW0c4,"""Master Python: Your Ultimate Beginner's Guide! #pythonlanguage #pythonsoftware #pythontutorial",2025-02-02 08:33:03+00:00,43,1,1,0.023255813953488372,8,Sunday
T6bJ_FrVrDU,Picking Random Item From A List In Python | Python Tutorial,2024-06-05 16:00:22+00:00,1647,48,2,0.029143897996357013,16,Wednesday
BVIoAILnZ4Q,#01 Python Programming Tutorial Series 📚| Introduction to Python 🧑‍💻| EMC ACADEMY 💪,2023-05-07 03:30:06+00:00,755802,21191,361,0.02803776650498411,3,Sunday
wPc6mANhIj4,I CREATE COFFEE APP IN 2 MIN USING PYTHON & LEARN PYTHON BY BUILDING SIMPLE PROJECTS,2025-05-10 16:01:23+00:00,171540,3292,66,0.01919085927480471,16,Saturday
uohaTwIXThE,Flask JSON Responses Made Easy | Python Tutorial,2025-01-24 17:00:59+00:00,1405,89,0,0.06334519572953737,17,Friday
DInMru2Eq6E,Introduction to Python Programming | Python for Beginners #lec1,2022-08-26 14:30:02+00:00,1492379,25999,861,0.01742117786433607,14,Friday
Y21OR1OPC9A,Python Virtual Environments - Full Tutorial for Beginners,2024-03-16 14:47:21+00:00,255866,8177,160,0.03195813433594147,14,Saturday
Qb9s3UiMSTA,Asyncio in Python - Full Tutorial,2024-04-05 14:30:26+00:00,237086,6956,151,0.029339564546198425,14,Friday
M576WGiDBdQ,"Solidity, Blockchain, and Smart Contract Course – Beginner to Expert Python Tutorial",2021-09-09 13:38:22+00:00,3641018,91991,5248,0.02526518682412446,13,Thursday
B9nFMZIYQl0,Python Tutorial for Beginners - Full Course in 12 Hours (2022),2022-09-02 16:00:10+00:00,473429,16008,453,0.033812884297328635,16,Friday
tZO6AxKCQ7s,python tutorial Arithmetic operators,2023-06-27 07:44:46+00:00,50,0,0,0.0,7,Tuesday
FbBXtqtRnWU,Introducing Python in Excel,2023-08-22 13:21:51+00:00,1905373,38137,1531,0.020015503526081245,13,Tuesday
2vdDWpABpj4,"Python Turtle Graphics for my ❤️ When Words Fail, Code Speaks 🌹.#pythonprogramming #coding",2025-07-03 02:55:00+00:00,1815,24,0,0.013223140495867768,2,Thursday
pKEjmiH_4RA,#5 - Create python script with IDLE shell | Python Tutorial | Praveen Kumar,2023-03-22 19:31:53+00:00,231761,2950,47,0.012728629924793214,19,Wednesday
Mf7eFtbVxFM,#6 Python Tutorial for Beginners | Tuple | Set in Python,2018-07-04 03:00:17+00:00,2293926,38114,1681,0.016615182878610732,3,Wednesday
H09PmP5tsy8,Making a Game in Python with No Experience,2023-01-07 17:17:00+00:00,2023089,65793,920,0.0325210606157218,17,Saturday
